Date,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199
2009-09-02,0,0,0,1,0,1,0,1,0,0,0,7,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,2,3,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,9,0,0,0,1,0,0,4,0,0,1,1,1,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,2,0,1,0,0,0,0,6,0,0,0,1,1,1,1,1,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,8,1,1,0,1,1,0,0,1,8,0,1,0,0,0,1,0,0,1,1,0,1,2,1,0,0,0,0,0,1,0,0,1,1,1,3,1,0,1,0,0
2009-09-03,0,0,2,1,2,2,0,0,0,0,0,3,0,0,0,0,1,3,0,0,0,1,0,1,0,3,2,0,0,0,3,1,1,0,2,4,1,0,0,0,0,0,0,0,0,2,1,1,0,0,1,0,0,0,0,1,6,0,0,0,0,0,0,2,0,0,0,2,1,2,4,3,1,1,0,1,0,2,10,0,1,1,0,0,0,3,1,1,4,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,2,0,1,11,0,0,0,0,3,4,1,1,0,1,0,0,0,0,3,1,0,0,0,1,0,1,0,1,0,0,3,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,3,18,2,4,0,1,1,0,0,1,11,0,1,0,0,0,0,0,1,2,0,2,0,4,0,2,1,2,1,0,1,0,0,0,2,0,0,1,0,0,0,1
2009-09-04,0,0,1,0,2,2,2,0,1,0,2,13,0,3,0,1,1,1,0,1,0,0,0,1,0,1,0,1,0,0,0,1,0,0,1,1,0,0,1,1,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,5,0,2,1,0,1,2,0,0,0,0,0,0,0,3,1,0,1,2,0,1,0,13,0,1,0,0,0,0,6,0,0,4,1,0,0,0,3,0,0,1,1,1,1,1,2,0,0,1,0,0,1,2,0,0,3,1,1,3,9,0,0,0,1,3,1,0,2,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,2,0,0,0,0,4,18,1,0,0,0,4,0,0,0,9,0,0,1,0,1,0,1,2,0,0,0,1,1,0,0,1,2,0,0,2,0,0,0,1,1,0,1,0,0,0,0
2009-09-05,0,0,0,1,0,1,0,1,0,0,1,7,1,1,1,0,4,3,0,0,0,0,0,1,0,0,1,0,0,1,4,0,0,0,0,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,0,0,1,0,0,3,0,0,0,0,2,1,0,3,0,0,0,1,1,0,0,7,0,0,1,0,0,0,3,1,1,3,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,11,0,0,0,0,8,0,0,1,0,0,1,0,1,1,2,1,0,0,0,0,1,0,1,2,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,5,18,1,1,0,0,0,0,0,0,10,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,2,0,0,1,3,0,0,3,0,0,0,0
2009-09-06,0,0,0,0,0,2,2,0,0,0,2,4,0,1,0,0,2,0,1,0,0,0,0,2,0,0,2,0,0,0,2,1,1,0,0,4,0,0,1,0,2,0,0,0,0,1,0,0,1,0,0,0,0,0,0,2,2,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,7,0,0,0,0,2,0,1,1,0,1,2,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,5,1,1,0,0,6,0,0,0,0,3,3,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,8,0,0,1,0,2,0,0,0,15,0,0,0,0,1,0,1,2,1,1,0,1,3,1,0,0,0,3,0,0,0,0,2,0,0,0,0,0,1,0,2
2009-09-07,1,1,0,1,0,0,0,0,1,0,5,7,1,4,0,0,5,2,0,0,0,0,0,1,0,1,0,0,0,0,3,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,8,0,0,0,0,0,2,0,0,0,0,1,0,0,2,3,4,0,1,0,0,0,17,0,1,0,0,3,0,4,1,0,2,2,1,0,0,2,0,0,1,0,0,0,0,2,1,0,0,2,0,0,1,0,2,1,1,0,2,13,0,0,0,0,5,3,1,2,0,1,1,0,0,0,2,1,0,2,0,0,0,1,0,1,0,0,0,1,1,0,0,2,0,0,0,0,0,2,0,0,0,1,1,18,1,1,4,1,1,0,0,0,8,1,0,0,0,0,0,0,3,1,0,0,0,6,2,0,1,0,1,0,2,0,0,3,1,0,0,2,0,0,0,0
2009-09-08,1,0,0,0,1,1,0,0,0,0,1,7,0,4,1,1,2,1,0,0,0,0,0,3,0,1,2,0,0,0,2,0,3,0,0,2,0,0,0,0,2,0,0,0,0,2,0,0,1,0,0,0,0,0,0,2,8,0,1,0,0,2,3,0,0,0,1,1,0,0,3,5,4,0,0,0,1,0,6,0,1,0,0,2,0,3,2,3,0,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,1,2,0,3,2,0,13,0,1,0,0,10,2,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,1,1,1,1,1,0,1,0,0,0,1,0,0,3,3,26,3,0,0,1,0,0,1,0,23,0,3,0,0,0,2,0,1,2,1,0,1,1,0,5,3,0,0,1,2,0,0,0,6,1,0,1,1,0,0,1
2009-09-09,1,1,1,1,0,1,0,0,0,0,0,3,0,0,1,0,0,3,0,0,0,0,0,1,0,3,0,0,2,0,1,0,0,1,2,1,0,1,0,0,0,0,0,1,0,1,0,0,2,0,0,0,0,1,0,2,6,0,0,0,0,0,3,1,1,0,0,1,0,0,3,2,0,1,1,2,0,1,15,0,0,0,2,0,0,2,0,1,3,3,0,0,2,0,0,1,0,1,1,0,2,2,0,1,0,3,0,1,0,0,0,0,2,0,0,14,3,0,0,0,5,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,3,26,0,0,0,1,1,0,0,0,13,0,1,0,0,0,0,0,0,0,0,1,1,2,0,0,0,1,0,0,1,0,0,2,2,1,0,1,1,0,0,0
2009-09-10,0,0,1,1,1,0,0,2,1,0,2,12,1,1,1,0,1,2,0,1,0,1,0,0,0,1,1,1,1,3,9,0,0,1,0,1,0,1,0,1,4,1,0,2,1,0,0,0,2,0,0,0,0,0,0,2,7,0,0,1,1,1,3,0,0,0,1,2,0,0,7,3,1,0,1,0,1,2,8,0,0,0,2,0,0,5,1,0,4,3,0,1,3,0,2,0,0,1,0,1,0,1,1,2,1,1,1,0,2,0,1,0,3,1,0,24,0,0,1,0,4,0,0,0,1,1,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,1,0,0,3,0,0,0,1,3,45,0,0,1,4,2,0,0,1,5,0,0,1,0,0,0,0,2,1,1,1,3,2,0,2,0,0,1,1,1,0,0,2,2,0,1,1,0,1,0,1
2009-09-11,0,0,1,1,1,2,1,1,0,0,2,13,1,5,0,0,0,1,1,0,0,0,0,2,1,2,1,2,0,1,3,0,1,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,0,3,11,0,2,1,0,0,2,0,2,2,1,0,1,1,2,6,1,1,3,0,1,0,16,0,0,0,1,1,1,7,0,0,5,1,0,1,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,1,2,1,4,0,0,19,0,0,1,0,4,0,1,0,0,0,4,0,0,1,2,4,0,3,0,0,0,0,1,0,0,0,0,0,1,0,0,2,0,1,1,0,0,0,1,0,0,0,9,35,2,2,2,2,1,0,1,2,16,0,1,1,0,0,1,1,0,0,0,0,1,4,0,3,0,2,1,0,4,0,0,0,4,0,0,1,1,0,3,1
2009-09-12,2,0,1,0,1,0,0,0,1,0,0,5,0,0,0,0,1,3,1,0,0,0,0,2,0,1,0,0,1,0,2,0,1,1,3,1,0,0,0,0,2,0,0,1,0,0,0,1,0,0,0,0,0,0,0,2,4,0,0,0,0,0,1,0,1,0,3,0,0,1,2,1,1,0,3,0,0,0,6,0,0,0,0,1,0,5,0,1,1,0,0,1,0,1,0,0,0,0,1,0,0,1,1,0,1,0,0,1,0,0,1,2,1,0,1,11,0,0,0,0,4,0,1,0,1,0,3,0,0,0,0,1,0,3,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,3,20,0,0,0,0,3,0,1,1,8,0,1,0,1,2,1,0,1,0,0,0,2,0,0,0,2,0,0,0,0,0,0,1,2,0,1,1,1,0,3,0
2009-09-13,1,0,0,0,0,0,0,0,0,0,1,9,0,2,0,1,2,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,3,0,0,0,1,1,0,0,1,2,1,0,0,1,1,0,8,0,0,2,0,0,1,1,0,0,1,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,11,0,0,1,0,3,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,15,0,1,0,3,0,0,0,0,9,0,0,1,0,0,0,1,0,2,2,0,1,1,0,0,0,0,1,2,0,0,0,1,3,0,0,2,0,0,0,0
2009-09-14,0,0,1,0,1,0,0,1,2,0,2,17,1,3,0,0,7,1,0,0,0,0,0,4,2,0,1,0,0,1,4,0,2,2,0,1,0,2,2,0,2,0,0,1,0,1,0,1,0,1,2,0,0,1,0,1,5,0,0,1,1,1,2,1,0,0,0,0,0,0,2,1,2,2,1,1,4,1,13,1,1,1,1,0,0,6,2,2,5,5,0,1,0,0,0,2,0,1,2,0,0,0,2,2,0,2,1,0,3,0,1,0,2,0,0,18,0,0,0,0,4,1,0,0,1,2,2,2,0,1,2,0,0,1,0,0,0,0,0,0,0,2,2,1,2,0,0,1,0,0,0,0,0,1,0,0,0,0,7,34,0,0,0,1,2,0,0,0,24,2,1,1,0,0,1,0,0,1,1,0,2,5,1,1,1,1,3,1,2,1,0,4,1,1,0,1,0,0,3,3
2009-09-15,0,0,0,2,2,0,1,0,0,0,2,5,1,1,2,0,0,0,0,0,0,0,0,1,2,2,1,0,0,0,3,0,2,1,0,0,0,0,0,0,2,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,3,0,0,0,2,0,4,0,2,0,1,1,0,0,4,2,1,0,1,1,4,0,9,0,0,1,0,0,0,4,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,4,0,0,0,1,1,0,12,1,1,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,2,1,0,0,0,0,0,1,0,0,0,0,1,18,0,0,1,1,1,0,0,0,10,0,2,0,1,0,0,0,2,1,1,0,1,0,0,0,0,2,1,1,1,0,0,0,2,0,0,0,0,1,0,0
2009-09-16,1,0,0,0,2,1,0,1,0,0,1,7,1,2,0,0,5,5,1,0,0,0,0,0,0,0,1,0,1,1,3,0,3,0,0,1,1,1,2,0,1,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,2,0,0,0,0,1,0,6,0,0,0,1,0,0,3,2,0,0,1,0,0,2,17,0,0,0,0,1,0,2,4,1,3,0,0,2,0,0,0,1,1,1,0,0,1,1,2,0,0,0,2,0,1,0,3,1,1,2,1,17,1,0,0,0,3,0,0,1,2,2,2,0,0,0,1,2,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,2,27,2,2,0,1,1,0,0,0,14,0,0,1,0,4,0,0,1,1,0,1,4,1,0,2,2,0,1,0,0,0,0,0,3,0,0,3,0,1,2,0
2009-09-17,0,2,0,3,3,0,1,2,0,0,3,14,1,2,0,0,1,2,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,2,2,0,1,2,0,0,0,1,1,1,1,0,1,0,0,0,0,0,0,0,1,6,0,0,1,0,0,1,1,1,0,0,0,0,1,2,1,1,2,3,0,1,2,20,0,1,0,2,0,0,2,1,1,1,3,0,0,1,0,0,0,1,0,2,0,0,0,0,0,0,1,1,1,0,0,0,0,1,1,0,13,0,0,1,0,10,2,0,0,2,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,3,0,2,0,0,0,0,1,0,0,1,1,1,0,0,2,4,26,0,1,0,2,3,0,0,1,10,0,0,1,0,0,0,0,1,2,0,0,0,3,0,0,0,1,0,0,0,0,0,1,5,0,0,1,1,1,6,1
2009-09-18,0,0,2,1,2,0,0,1,0,0,2,4,0,1,0,1,2,1,1,1,1,0,0,3,0,0,2,1,0,1,3,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,5,0,0,0,0,0,2,0,0,0,0,0,2,0,3,2,0,0,1,0,0,0,12,1,0,1,0,3,0,4,3,0,2,3,0,2,0,0,0,0,0,1,2,1,1,0,0,0,0,1,0,0,1,1,1,0,1,0,1,11,0,0,0,0,4,2,0,0,1,5,3,0,0,0,2,1,1,0,0,0,1,1,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,2,17,2,0,0,1,3,1,0,0,16,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,1,2,1,0,1,3,0,0,2,0,1,0,0
2009-09-19,1,1,0,1,1,0,0,0,0,0,0,0,1,3,0,0,2,2,0,0,0,0,0,1,0,1,1,0,0,1,2,0,0,0,0,1,0,0,1,0,0,1,0,0,0,2,1,0,1,0,1,0,0,0,0,0,4,0,0,0,0,0,1,1,0,0,0,1,1,0,2,0,2,0,1,0,0,0,10,1,0,0,0,1,0,3,0,1,3,1,0,0,0,0,1,1,1,0,2,0,0,0,2,1,0,1,0,1,0,1,1,0,1,1,0,13,0,0,0,0,1,0,0,0,0,1,1,0,0,0,2,1,0,0,0,0,1,0,1,0,3,0,2,0,0,0,0,2,0,0,1,0,0,0,1,0,0,1,2,13,2,0,0,0,1,1,0,0,9,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,1,0,1,0,0,2,0,0,1,0,1,0,0
2009-09-20,0,0,0,0,2,2,1,1,0,0,3,7,1,2,1,0,2,1,1,0,0,0,0,1,1,0,0,1,0,0,2,0,2,0,0,1,1,0,0,0,1,1,0,0,0,1,0,1,0,1,0,1,0,0,0,0,3,0,0,0,0,0,1,1,0,0,0,2,0,0,1,0,0,0,0,0,0,0,4,1,0,0,1,1,0,3,0,1,2,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,13,1,0,0,0,2,0,0,0,0,2,0,2,0,0,4,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,14,2,1,0,1,0,1,0,0,9,0,1,1,0,2,0,0,1,0,2,0,0,0,1,1,1,0,0,0,2,0,0,1,3,0,0,0,0,0,1,0
2009-09-21,0,0,0,1,2,1,0,1,1,0,4,5,0,1,1,0,4,4,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,1,1,0,0,2,2,1,0,0,1,0,1,2,2,3,0,2,2,0,0,15,0,2,0,0,2,1,3,1,0,3,0,0,0,0,1,0,0,0,2,1,1,0,0,1,1,2,3,2,0,2,0,1,1,2,0,2,12,1,0,0,0,7,1,1,0,0,1,2,1,0,0,1,0,0,3,1,0,0,0,0,1,0,0,0,1,0,0,1,2,0,0,0,0,1,0,0,0,0,2,2,18,1,1,1,0,0,0,0,1,15,1,0,1,0,0,0,1,0,2,0,0,0,2,3,1,3,0,0,0,3,0,0,1,2,0,0,0,0,0,1,0
2009-09-22,0,0,2,2,1,0,1,0,0,0,1,6,0,3,0,1,1,1,0,0,0,0,1,1,1,2,1,0,0,1,3,0,1,0,0,0,1,0,0,0,1,0,0,0,1,1,0,1,0,0,2,0,0,0,0,0,3,0,1,0,0,1,2,1,0,0,0,0,0,1,2,3,1,1,0,1,1,2,11,0,0,0,1,0,0,2,2,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,1,0,0,0,1,0,1,11,0,0,0,0,6,1,0,1,0,2,1,0,0,0,0,3,0,2,0,0,1,1,0,1,1,0,0,0,1,0,1,2,0,0,0,2,0,1,0,0,0,1,3,21,2,0,0,1,0,0,1,0,13,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,3,0,0,2,0,0,0,3,0,1,1,2,0,0,4
2009-09-23,2,0,0,0,1,0,0,1,0,1,3,9,0,1,1,0,4,3,1,0,0,0,0,2,1,0,0,0,1,0,2,0,1,1,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,5,0,0,0,1,0,1,0,0,0,0,0,0,1,2,4,2,0,3,1,0,2,24,0,0,1,3,1,0,3,3,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,2,1,0,1,0,1,1,13,4,1,0,0,7,3,2,0,1,0,1,1,0,0,1,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2,1,0,1,0,1,0,0,0,0,1,4,19,0,1,0,4,3,1,1,0,11,0,0,0,0,2,0,0,2,1,2,0,0,2,1,2,1,0,1,0,0,1,0,2,5,0,0,0,1,0,1,2
2009-09-24,1,0,2,0,0,2,1,0,0,0,5,13,0,3,1,0,2,2,0,0,0,1,0,2,0,1,1,0,0,1,2,2,0,1,0,1,0,0,0,0,1,1,0,0,0,0,2,0,0,0,0,1,0,0,1,0,12,0,1,0,0,0,4,2,0,0,0,1,1,0,1,0,3,0,1,1,0,0,16,0,0,0,0,0,1,11,2,7,6,2,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,1,2,0,4,1,0,13,0,1,0,0,8,2,1,0,0,1,1,0,2,0,3,1,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,3,1,1,1,0,1,0,0,0,0,1,3,31,0,0,1,0,2,0,1,0,16,0,0,0,0,2,1,0,2,1,0,0,6,3,2,0,0,4,0,1,0,0,0,1,6,0,0,1,0,0,0,1
2009-09-25,0,0,0,0,0,0,0,0,0,0,0,9,0,3,0,1,1,3,1,0,0,0,0,1,1,2,0,0,0,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,1,4,0,0,0,0,1,2,0,4,5,0,0,0,0,0,0,12,0,0,0,0,2,0,2,0,0,4,0,0,0,0,1,0,1,0,0,2,1,1,0,3,0,0,3,4,0,3,0,0,0,2,2,1,11,1,0,0,0,5,0,2,1,0,3,0,1,0,0,1,3,0,0,0,0,2,1,0,0,2,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,4,2,18,3,0,0,7,0,0,0,1,17,0,1,1,0,1,0,1,2,2,2,0,0,4,0,3,1,2,2,0,3,0,0,1,2,0,1,3,0,0,2,0
2009-09-26,0,0,3,0,0,0,0,2,0,0,1,4,0,2,0,0,0,1,0,0,0,0,0,3,1,1,1,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,1,1,0,0,1,1,0,0,0,1,0,1,6,0,1,0,1,7,1,4,2,0,5,1,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,1,0,0,0,0,0,0,3,0,3,4,0,0,0,0,1,0,0,1,0,1,1,1,0,0,3,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,2,1,0,1,1,0,0,0,0,1,0,9,2,0,0,1,1,0,1,1,7,0,0,0,0,2,0,0,1,0,0,0,0,2,0,2,1,1,0,0,1,1,0,0,2,0,0,1,0,1,0,0
2009-09-27,1,0,1,0,1,0,0,1,1,0,1,7,0,2,0,1,3,1,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,6,0,0,0,0,0,0,0,1,0,0,1,0,1,2,2,1,0,1,0,0,0,11,0,0,0,0,3,0,4,2,1,3,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,2,0,1,0,1,6,0,0,0,0,3,0,0,2,0,0,2,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,2,8,1,0,2,0,0,0,0,0,11,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,1,0,0,0,1,4,0,0,0,1,0,0,0
2009-09-28,1,0,1,0,0,1,0,1,0,0,1,3,0,2,0,0,1,1,1,0,1,0,0,3,0,2,0,0,0,0,1,0,1,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,5,0,0,0,0,1,1,0,2,2,0,1,0,0,0,4,1,1,0,0,0,0,6,1,0,1,0,1,0,1,0,0,2,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,3,0,0,0,0,2,0,12,0,0,0,0,1,2,1,0,0,0,3,1,0,1,0,2,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,2,5,16,0,0,0,2,0,0,0,0,6,0,2,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,2,2,0,0,0,0,0,1,1
2009-09-29,0,0,3,2,3,1,0,1,1,0,1,9,0,2,0,1,3,5,0,0,0,2,0,2,0,1,1,0,0,1,2,0,0,0,1,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,2,2,0,0,0,0,0,3,0,1,1,0,0,0,0,0,4,0,0,2,1,1,0,17,0,1,0,0,1,1,5,2,0,2,0,1,0,1,0,0,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,15,0,1,0,0,5,1,0,0,1,1,1,0,0,2,2,3,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,2,24,2,0,0,2,2,1,0,0,15,0,0,0,0,1,1,0,2,4,0,0,3,0,0,0,0,1,0,0,1,0,0,2,2,0,2,1,0,0,1,0
2009-09-30,0,0,1,1,0,0,0,0,0,0,1,5,0,0,0,0,5,3,0,0,0,0,1,0,0,1,0,1,0,1,6,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,2,0,0,0,1,1,4,1,2,0,0,3,0,0,4,0,0,0,1,0,1,1,8,0,0,0,0,1,0,6,2,0,5,1,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,1,0,4,0,3,10,1,0,0,1,4,0,0,0,0,0,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,20,2,0,0,2,2,0,0,0,10,1,1,0,0,0,0,1,2,0,0,1,2,1,0,1,1,0,2,0,0,0,0,3,5,0,1,2,0,2,1,0
2009-10-01,0,0,0,1,1,0,0,0,0,0,1,5,0,0,0,0,4,2,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,1,1,1,3,0,0,0,0,0,2,0,0,1,1,0,0,0,2,2,1,0,0,1,1,0,8,0,0,0,0,3,0,4,2,1,1,1,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,2,0,1,0,1,0,2,10,1,0,0,0,5,1,1,0,2,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,1,2,0,0,0,0,1,2,16,0,0,0,0,0,0,0,0,7,0,0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,5,0,0,0,1,0,0,0
2009-10-02,5,2,0,0,0,1,1,0,1,0,1,9,0,2,0,0,0,0,0,0,1,0,1,0,1,3,0,1,0,1,6,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,3,2,0,0,1,3,0,0,0,0,0,2,1,0,2,0,2,0,0,3,4,2,0,2,0,0,1,13,0,0,0,1,1,0,2,2,2,2,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,2,0,1,1,0,14,0,0,2,0,2,2,0,1,0,2,0,0,1,0,2,5,0,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,2,1,0,1,0,0,0,0,1,2,18,1,0,0,4,0,0,1,1,7,0,0,0,0,0,1,0,1,0,0,1,2,0,2,2,2,0,1,0,4,1,0,3,4,0,0,0,1,1,2,0
2009-10-03,1,0,2,0,1,1,0,2,1,0,0,8,0,0,0,0,2,1,0,0,0,0,0,0,0,1,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,0,0,1,0,0,0,11,0,1,0,0,0,1,3,1,0,3,0,0,0,0,0,0,0,0,2,0,1,0,0,0,1,0,0,0,0,0,1,0,2,1,0,0,9,0,0,1,0,3,3,1,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,2,9,0,0,0,0,0,2,0,0,10,1,1,0,0,1,0,0,2,2,0,0,1,2,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
2009-10-04,1,0,1,2,1,0,2,0,0,0,0,3,0,3,1,0,1,4,0,0,0,0,0,1,0,2,0,0,1,1,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,7,1,0,1,0,0,0,0,0,0,0,0,0,2,2,4,0,0,0,0,0,1,9,1,1,0,2,3,0,5,2,0,2,1,2,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,2,0,2,8,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,1,2,1,0,1,0,0,2,3,20,2,0,0,1,1,1,0,0,15,0,2,0,0,3,1,0,1,1,0,0,2,2,1,0,1,1,0,0,0,0,0,1,3,0,0,0,0,1,0,2
